../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;196441;0.020901
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;195723;0.026571
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;195692;0.040211
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;195504;0.126068
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;195240;0.146855
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;195125;0.310532
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;194706;0.670345
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;194679;0.898437
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;194285;0.922976
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;194140;1.13975
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;193985;1.42248
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;193978;1.69452
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;193917;1.80701
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;193835;2.22776
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;193776;2.49954
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;193771;2.78022
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;193748;2.88384
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;193336;2.92817
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;193335;3.89669
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;193186;3.98711
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;193140;4.88194
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;193041;5.30912
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;192984;5.60194
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;192879;6.16964
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;192873;7.28155
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;192796;7.4057
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;192610;7.95608
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;192592;10.5118
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;192347;11.713
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;192043;17.3861
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;191971;21.807
../Instances_part/cenario_2_1/particao_1/X-n586-k159.vrp;0;191885;22.5099
