,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,.ID.,nbIterTraces,nbGranular,mu,lambda,nbElite,nbClose,nbIterPenaltyManagement,targetFeasible,penaltyIncrease,penaltyDecrease,.PARENT.,name,Unnamed: 0_y,hiper_parameter_agg,conj_clientes,instancia,custo
0,0,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,0,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n204-k19.vrp,19977.0
1,1,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,1,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n573-k30.vrp,52061.0
2,2,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,2,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT7.vrp,913.0
3,3,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,3,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT9.vrp,1173.0
4,4,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,4,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n247-k50.vrp,
5,5,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,5,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_6.vrp,8484.0
6,6,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,6,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n162-k11.vrp,14402.0
7,7,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,7,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n469-k138.vrp,226106.0
8,8,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,8,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n172-k51.vrp,46377.0
9,9,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,9,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_18.vrp,1045.0
10,10,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,10,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n536-k96.vrp,97038.0
11,11,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,11,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT5.vrp,1328.0
12,12,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,12,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n209-k16.vrp,31578.0
13,13,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,13,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n701-k44.vrp,85629.0
14,14,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,14,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n237-k14.vrp,27633.0
15,15,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,15,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n376-k94.vrp,148624.0
16,16,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,16,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n957-k87.vrp,87810.0
17,17,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,17,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n313-k71.vrp,96330.0
18,18,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,18,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n195-k51.vrp,45300.0
19,19,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,19,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n613-k62.vrp,62335.0
20,20,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,20,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n716-k35.vrp,45694.0
21,21,2,13.0,7.0,7,700,15,30,40,7,7,150,0.3,1.3,7.0,K3C18J3,21,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n139-k10.vrp,13759.0
