,Unnamed: 0,Unnamed: 0_x,name,nbIterTraces,nbGranular,mu,lambda,nbElite,nbClose,nbIterPenaltyManagement,targetFeasible,penaltyIncrease,penaltyDecrease,Unnamed: 0_y,hiper_parameter_agg,conj_clientes,instancia,custo
0,0,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,0,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_1.vrp,5785.0
1,1,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,1,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n536-k96.vrp,97271.0
2,2,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,2,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n641-k35.vrp,66802.0
3,3,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,3,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT7.vrp,909.0
4,4,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,4,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT11.vrp,1135.0
5,5,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,5,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n469-k138.vrp,226122.0
6,6,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,6,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n172-k51.vrp,46169.0
7,7,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,7,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n153-k22.vrp,21559.0
8,8,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,8,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n129-k18.vrp,29629.0
9,9,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,9,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n106-k14.vrp,26612.0
10,10,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,10,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n237-k14.vrp,27925.0
11,11,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,11,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_8.vrp,12016.0
12,12,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,12,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n294-k50.vrp,48678.0
13,13,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,13,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_20.vrp,1917.0
14,14,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,14,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT9.vrp,1169.0
15,15,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,15,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n181-k23.vrp,25872.0
16,16,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,16,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n101-k25.vrp,28165.0
17,17,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,17,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_11.vrp,824.0
18,18,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,18,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n548-k50.vrp,88616.0
19,19,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,19,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n195-k51.vrp,45130.0
20,20,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,20,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT10.vrp,1414.0
21,21,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,21,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n561-k42.vrp,44797.0
22,22,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,22,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n627-k43.vrp,65264.0
23,23,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,23,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n429-k61.vrp,67470.0
24,24,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,24,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n876-k59.vrp,102758.0
25,25,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,25,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_6.vrp,8657.0
26,26,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,26,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n190-k8.vrp,17410.0
27,27,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,27,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_3.vrp,11324.0
28,28,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,28,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n176-k26.vrp,49021.0
29,29,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,29,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n139-k10.vrp,13708.0
30,30,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,30,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n393-k38.vrp,39685.0
31,31,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,31,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n1001-k43.vrp,76996.0
32,32,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,32,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n331-k15.vrp,32446.0
33,33,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,33,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n670-k130.vrp,
34,34,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,34,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n655-k131.vrp,107513.0
35,35,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,35,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n701-k44.vrp,85565.0
36,36,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,36,K3C18J2,K3E1C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_4.vrp,14096.0
37,37,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,37,K3C18J2,K3E1C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n336-k84.vrp,
38,38,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,38,K3C18J2,K3E1C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n459-k26.vrp,25370.0
39,39,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,39,K3C18J2,K3E1C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_2.vrp,8583.0
40,40,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,40,K3C18J2,K3E1C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n384-k52.vrp,67878.0
41,41,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,41,K3C18J2,K3E1C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT14.vrp,868.0
42,42,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,42,K3C18J2,K3E1C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n308-k13.vrp,26888.0
43,43,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,43,K3C18J2,K3E1C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n801-k40.vrp,76250.0
44,44,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,44,K3C18J2,K3E1C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n186-k15.vrp,24777.0
45,45,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,45,K3C18J2,K3E1C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n766-k71.vrp,119119.0
46,46,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,46,K3C18J2,K3E1C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n125-k30.vrp,56641.0
47,47,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,47,K3C18J2,K3E1C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n148-k46.vrp,44166.0
48,48,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,48,K3C18J2,K3E1C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n783-k48.vrp,76517.0
49,49,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,49,K3C18J2,K3E1C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n228-k23.vrp,26317.0
50,50,2,K3C18J2,2,333,21,23,20,4,2,100,0.3,1.2,50,K3C18J2,K3E1C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n275-k28.vrp,21711.0
