,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,.ID.,nbIterTraces,nbGranular,mu,lambda,nbElite,nbClose,nbIterPenaltyManagement,targetFeasible,penaltyIncrease,penaltyDecrease,.PARENT.,name,Unnamed: 0_y,hiper_parameter_agg,conj_clientes,instancia,custo
0,0,2,18.0,5.0,5,700,25,30,20,5,5,100,0.3,1.2,5.0,K3C18J1,0,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n393-k38.vrp,39564.0
1,1,2,18.0,5.0,5,700,25,30,20,5,5,100,0.3,1.2,5.0,K3C18J1,1,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n313-k71.vrp,96167.0
2,2,2,18.0,5.0,5,700,25,30,20,5,5,100,0.3,1.2,5.0,K3C18J1,2,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT9.vrp,1172.0
3,3,2,18.0,5.0,5,700,25,30,20,5,5,100,0.3,1.2,5.0,K3C18J1,3,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n284-k15.vrp,21139.0
4,4,2,18.0,5.0,5,700,25,30,20,5,5,100,0.3,1.2,5.0,K3C18J1,4,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT14.vrp,865.0
5,5,2,18.0,5.0,5,700,25,30,20,5,5,100,0.3,1.2,5.0,K3C18J1,5,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n327-k20.vrp,28706.0
6,6,2,18.0,5.0,5,700,25,30,20,5,5,100,0.3,1.2,5.0,K3C18J1,6,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n167-k10.vrp,21173.0
7,7,2,18.0,5.0,5,700,25,30,20,5,5,100,0.3,1.2,5.0,K3C18J1,7,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT2.vrp,846.0
8,8,2,18.0,5.0,5,700,25,30,20,5,5,100,0.3,1.2,5.0,K3C18J1,8,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_3.vrp,11384.0
9,9,2,18.0,5.0,5,700,25,30,20,5,5,100,0.3,1.2,5.0,K3C18J1,9,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n303-k21.vrp,22377.0
10,10,2,18.0,5.0,5,700,25,30,20,5,5,100,0.3,1.2,5.0,K3C18J1,10,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n344-k43.vrp,43409.0
11,11,2,18.0,5.0,5,700,25,30,20,5,5,100,0.3,1.2,5.0,K3C18J1,11,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n157-k13.vrp,16940.0
12,12,2,18.0,5.0,5,700,25,30,20,5,5,100,0.3,1.2,5.0,K3C18J1,12,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n599-k92.vrp,111625.0
13,13,2,18.0,5.0,5,700,25,30,20,5,5,100,0.3,1.2,5.0,K3C18J1,13,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n936-k151.vrp,139358.0
