,Unnamed: 0,Unnamed: 0_x,name,nbIterTraces,nbGranular,mu,lambda,nbElite,nbClose,nbIterPenaltyManagement,targetFeasible,penaltyIncrease,penaltyDecrease,Unnamed: 0_y,hiper_parameter_agg,conj_clientes,instancia,custo
0,0,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,0,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_1.vrp,5809.0
1,1,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,1,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n536-k96.vrp,97058.0
2,2,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,2,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n641-k35.vrp,66743.0
3,3,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,3,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT7.vrp,909.0
4,4,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,4,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT11.vrp,1109.0
5,5,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,5,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n469-k138.vrp,226066.0
6,6,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,6,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n172-k51.vrp,46323.0
7,7,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,7,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n153-k22.vrp,21759.0
8,8,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,8,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n129-k18.vrp,29829.0
9,9,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,9,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n106-k14.vrp,26653.0
10,10,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,10,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n237-k14.vrp,27643.0
11,11,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,11,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_8.vrp,11981.0
12,12,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,12,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n294-k50.vrp,48682.0
13,13,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,13,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_20.vrp,1911.0
14,14,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,14,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT9.vrp,1166.0
15,15,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,15,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n181-k23.vrp,25865.0
16,16,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,16,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n101-k25.vrp,28124.0
17,17,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,17,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_11.vrp,830.0
18,18,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,18,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n548-k50.vrp,88329.0
19,19,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,19,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n195-k51.vrp,45064.0
20,20,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,20,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT10.vrp,1417.0
21,21,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,21,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n561-k42.vrp,44479.0
22,22,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,22,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n627-k43.vrp,65207.0
23,23,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,23,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n429-k61.vrp,67377.0
24,24,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,24,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n876-k59.vrp,102661.0
25,25,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,25,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_6.vrp,8562.0
26,26,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,26,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n190-k8.vrp,17378.0
27,27,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,27,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_3.vrp,11381.0
28,28,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,28,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n176-k26.vrp,48951.0
29,29,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,29,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n139-k10.vrp,13906.0
30,30,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,30,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n393-k38.vrp,39744.0
31,31,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,31,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n1001-k43.vrp,76978.0
32,32,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,32,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n331-k15.vrp,32395.0
33,33,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,33,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n670-k130.vrp,
34,34,2,K3C18J2,1,250,25,25,20,5,1,100,0.3,1.2,34,K3C18J2,K3E3C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n655-k131.vrp,107584.0
