,Unnamed: 0,Unnamed: 0_x,name,nbIterTraces,nbGranular,mu,lambda,nbElite,nbClose,nbIterPenaltyManagement,targetFeasible,penaltyIncrease,penaltyDecrease,Unnamed: 0_y,hiper_parameter_agg,conj_clientes,instancia,custo
0,0,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,0,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n393-k38.vrp,39469.0
1,1,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,1,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n313-k71.vrp,96180.0
2,2,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,2,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT9.vrp,1171.0
3,3,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,3,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n284-k15.vrp,21249.0
4,4,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,4,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT14.vrp,868.0
5,5,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,5,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n327-k20.vrp,28896.0
6,6,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,6,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n167-k10.vrp,21431.0
7,7,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,7,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT2.vrp,843.0
8,8,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,8,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_3.vrp,11385.0
9,9,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,9,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n303-k21.vrp,22405.0
10,10,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,10,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n344-k43.vrp,43266.0
11,11,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,11,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n157-k13.vrp,16966.0
12,12,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,12,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n599-k92.vrp,111772.0
13,13,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,13,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n936-k151.vrp,
14,14,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,14,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT4.vrp,1040.0
15,15,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,15,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n895-k37.vrp,57402.0
16,16,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,16,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n491-k59.vrp,69286.0
17,17,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,17,K3C18J1,K3E2C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n979-k58.vrp,123366.0
18,18,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,18,K3C18J1,K3E3C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n837-k142.vrp,198731.0
19,19,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,19,K3C18J1,K3E3C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n480-k70.vrp,91832.0
20,20,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,20,K3C18J1,K3E3C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n561-k42.vrp,44489.0
21,21,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,21,K3C18J1,K3E3C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n420-k130.vrp,110313.0
22,22,2,K3C18J1,5,550,21,28,20,5,5,100,0.3,1.2,22,K3C18J1,K3E3C18J1,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n190-k8.vrp,17424.0
