,name,.ID.,nbIterTraces,nbGranular,mu,lambda,nbElite,nbClose,nbIterPenaltyManagement,targetFeasible,penaltyIncrease,penaltyDecrease,.PARENT.
0,K7E6C18J2,1,1,250,25,25,20,5,1,100,0.3,1.2,1
1,K7E7C18J2,4,4,500,15,20,20,3,4,100,0.3,1.2,4
2,K7E3C10J2,8,8,500,20,30,40,7,8,50,0.2,1.2,8
3,K7E2C10J2,8,8,500,15,20,20,7,8,100,0.2,1.4,8
4,K7E4C15J2,1,1,500,15,30,20,7,1,100,0.3,1.4,1
5,K7E5C15J2,1,1,500,15,30,20,7,1,100,0.3,1.4,1
6,K5E1C18J2,7,7,700,15,20,40,7,7,150,0.3,1.3,7
7,K5E2C15J2,10,10,500,15,20,20,7,10,150,0.4,1.4,10
8,K5E3C15J2,2,2,700,20,20,40,3,2,150,0.5,1.3,2
9,K3E1C10J2,9,9,500,25,25,40,7,9,150,0.2,1.4,9
10,K5E5C10J2,1,1,500,25,25,60,5,1,100,0.4,1.4,1
11,K5E4C10J2,8,8,700,20,20,20,5,8,50,0.3,1.2,8
12,K3E3C18J2,4,4,500,15,20,20,3,4,100,0.3,1.2,4
13,K3E2C18J2,1,1,250,25,25,20,5,1,100,0.3,1.2,1
14,K5E5C15J2,6,6,500,25,30,20,7,6,150,0.2,1.3,6
15,K5E4C15J2,6,6,500,25,20,20,7,6,100,0.2,1.3,6
16,K3E1C15J2,1,1,500,15,30,20,7,1,100,0.3,1.4,1
17,K5E2C10J2,10,10,500,20,25,40,7,10,150,0.2,1.3,10
18,K5E3C10J2,10,10,500,20,25,20,7,10,50,0.2,1.3,10
19,K7E1C18J2,2,2,700,15,20,60,7,2,150,0.5,1.3,2
20,K7E4C10J2,9,9,700,25,20,20,5,9,150,0.3,1.4,9
21,K7E5C10J2,4,4,500,20,25,20,7,4,150,0.2,1.3,4
22,K7E3C15J2,9,9,500,15,20,40,7,9,150,0.4,1.4,9
23,K7E2C15J2,11,11,500,15,25,20,7,11,100,0.3,1.2,11
24,K5E1C15J2,5,5,500,15,20,20,7,5,150,0.4,1.4,5
25,K3E2C10J2,3,3,700,20,20,60,5,3,150,0.3,1.3,3
26,K3E3C10J2,3,3,700,20,20,60,5,3,150,0.3,1.3,3
27,K5E3C18J2,1,1,250,25,25,20,5,1,100,0.3,1.2,1
28,K5E2C18J2,4,4,500,15,20,20,3,4,100,0.3,1.2,4
29,K7E1C10J2,9,9,700,20,20,20,5,9,150,0.3,1.4,9
30,K7E7C15J2,6,6,500,25,30,20,7,6,150,0.2,1.3,6
31,K7E6C15J2,6,6,700,25,20,40,3,6,100,0.2,1.4,6
32,K7E5C18J2,4,4,500,15,20,20,3,4,100,0.3,1.2,4
33,K7E4C18J2,10,10,250,25,25,20,5,10,100,0.3,1.2,10
34,K7E7C10J2,4,4,500,20,20,20,5,4,50,0.3,1.2,4
35,K7E6C10J2,4,4,500,20,20,20,5,4,50,0.3,1.2,4
36,K7E1C15J2,11,11,500,15,20,20,7,11,150,0.4,1.4,11
37,K7E2C18J2,1,1,250,25,25,20,5,1,100,0.3,1.2,1
38,K7E3C18J2,4,4,500,15,20,20,3,4,100,0.3,1.2,4
39,K3E2C15J2,1,1,500,15,30,20,7,1,100,0.3,1.4,1
40,K3E3C15J2,6,6,500,25,20,20,7,6,100,0.2,1.3,6
41,K5E1C10J2,10,10,700,25,20,40,7,10,100,0.2,1.4,10
42,K3E1C18J2,1,1,250,25,25,20,5,1,100,0.3,1.2,1
43,K5E4C18J2,4,4,500,15,20,20,3,4,100,0.3,1.2,4
44,K5E5C18J2,5,5,700,25,30,20,5,5,100,0.3,1.2,5
