,name,.ID.,nbIterTraces,nbGranular,mu,lambda,nbElite,nbClose,nbIterPenaltyManagement,targetFeasible,penaltyIncrease,penaltyDecrease,.PARENT.
0,K7E7C18J3,1,1,250,25,25,20,5,1,100,0.3,1.2,1
1,K7E6C18J3,9,9,250,25,25,20,5,9,100,0.3,1.3,9
2,K7E5C15J3,8,8,500,20,20,20,7,8,150,0.4,1.4,8
3,K7E4C15J3,8,8,500,15,20,20,7,8,150,0.4,1.2,8
4,K7E2C10J3,4,4,500,20,25,20,7,4,150,0.2,1.3,4
5,K7E3C10J3,2,2,700,20,30,40,7,2,50,0.2,1.2,2
6,K5E1C18J3,1,1,250,25,25,20,5,1,100,0.3,1.2,1
7,K5E4C10J3,3,3,700,20,20,60,5,3,150,0.3,1.3,3
8,K5E5C10J3,3,3,700,20,20,60,5,3,150,0.3,1.3,3
9,K3E1C10J3,4,4,500,20,20,20,5,4,50,0.3,1.2,4
10,K5E3C15J3,8,8,500,15,20,20,7,8,150,0.4,1.3,8
11,K5E2C15J3,11,11,250,20,20,40,5,11,100,0.5,1.4,11
12,K3E2C18J3,9,9,700,25,30,20,5,9,100,0.3,1.3,9
13,K3E3C18J3,6,6,700,15,30,40,7,6,150,0.3,1.2,6
14,K5E3C10J3,9,9,700,20,30,20,7,9,50,0.2,1.4,9
15,K5E2C10J3,4,4,500,20,20,20,5,4,50,0.3,1.2,4
16,K3E1C15J3,1,1,500,15,30,20,7,1,100,0.3,1.4,1
17,K5E4C15J3,1,1,500,15,30,20,7,1,100,0.3,1.4,1
18,K5E5C15J3,7,7,700,15,20,20,7,7,150,0.4,1.4,7
19,K7E1C18J3,9,9,500,15,20,20,3,9,100,0.3,1.3,9
20,K7E2C15J3,9,9,500,15,30,20,5,9,100,0.2,1.4,9
21,K7E3C15J3,3,3,250,25,20,60,5,3,150,0.2,1.3,3
22,K7E5C10J3,3,3,700,20,20,60,5,3,150,0.3,1.3,3
23,K7E4C10J3,8,8,700,20,20,20,5,8,50,0.3,1.2,8
24,K3E3C10J3,4,4,500,20,25,20,7,4,150,0.2,1.3,4
25,K3E2C10J3,6,6,700,25,20,40,7,6,100,0.4,1.2,6
26,K5E1C15J3,5,5,500,15,20,20,7,5,150,0.4,1.4,5
27,K5E2C18J3,10,10,250,25,25,20,5,10,100,0.4,1.2,10
28,K5E3C18J3,9,9,500,15,20,20,3,9,100,0.3,1.3,9
29,K7E6C15J3,8,8,500,15,30,20,7,8,100,0.3,1.3,8
30,K7E7C15J3,6,6,500,25,20,20,7,6,100,0.2,1.3,6
31,K7E1C10J3,3,3,700,20,20,60,5,3,150,0.3,1.3,3
32,K7E4C18J3,5,5,700,25,30,20,5,5,100,0.3,1.2,5
33,K7E5C18J3,1,1,250,25,25,20,5,1,100,0.3,1.2,1
34,K7E1C15J3,7,7,500,15,30,20,7,7,150,0.2,1.3,7
35,K7E6C10J3,2,2,700,20,30,40,7,2,50,0.2,1.2,2
36,K7E7C10J3,8,8,700,20,20,20,5,8,50,0.3,1.2,8
37,K7E3C18J3,9,9,500,15,20,20,3,9,100,0.3,1.3,9
38,K7E2C18J3,11,11,500,20,20,40,5,11,150,0.2,1.2,11
39,K5E1C10J3,8,8,500,25,20,20,7,8,100,0.2,1.4,8
40,K3E3C15J3,8,8,500,15,20,20,7,8,150,0.4,1.2,8
41,K3E2C15J3,5,5,500,15,20,20,7,5,150,0.4,1.4,5
42,K5E5C18J3,11,11,700,15,20,40,7,11,50,0.3,1.3,11
43,K5E4C18J3,4,4,500,15,20,20,3,4,100,0.3,1.2,4
44,K3E1C18J3,7,7,700,15,20,40,7,7,150,0.3,1.3,7
