"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
29936 29941 29976 29912 29941 NA 30022 29971 29961 29889
19762 19752 19791 19791 19763 NA 19785 19764 19759 19736
24278 24244 24265 24266 24343 24327 24288 24216 24244 24242
22821 22849 22979 22840 22833 22922 22852 22854 22827 22829
24145 24145 24145 24145 24145 NA 24145 24145 24145 24145
224071 224350 224357 223911 224154 224598 224156 223905 223899 223377
95882 NA NA 95890 95867 96236 95865 96039 95828 95741
116521 NA NA 116139 117108 NA 116554 116956 116750 116258
903 NA NA NA NA 903 903 903 903 903
21809 NA NA NA NA NA 21849 21879 21842 21854
20320 NA NA NA NA NA 20342 20310 20335 20273
78805 NA NA NA NA NA 79289 78974 NA 78930
36471 NA NA NA NA NA 36409 36408 NA 36473
47250 NA NA NA NA NA 47315 47251 NA 47260
