   .ID. nbIterTraces nbGranular  mu lambda nbElite nbClose nbIterPenaltyManagement targetFeasible penaltyIncrease penaltyDecrease    .PARENT.
1     1          250         25  25     20       5       8                     100            0.3             1.2            0.75 -2147483648
2     2          700         15  20     60       7       4                     150            0.5             1.3            0.85 -2147483648
3     3          250         15  25     40       3       6                     150            0.2             1.3            0.65 -2147483648
4     4          500         15  20     20       3       6                     100            0.3             1.2            0.85           1
5     5          700         25  30     20       5       4                     100            0.3             1.2            0.75           1
6     6          250         25  25     20       7       8                     150            0.5             1.2            0.75           1
7     7          250         25  25     60       5       8                     150            0.3             1.2            0.75           1
8     8          250         25  25     20       5       8                     100            0.3             1.2            0.75           1
9     9          250         25  20     40       5       8                     100            0.3             1.2            0.75           1
