"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
160458 160147 160488 159746 160503 160405 160483 159517 160287 159909
686 686 688 686 NA 686 688 686 686 688
140795 140240 140694 139966 140901 140951 140523 140248 140368 140423
26383 26395 26394 26375 26386 26386 26387 26383 26381 26370
1819 1814 1813 1815 1819 1826 1811 1815 1813 1811
40437 40529 40476 40534 NA 40520 40508 40506 40463 40463
31129 NA NA 31225 31231 31215 31197 31208 31103 31103
47812 NA NA 47812 NA 47812 47887 47812 47954 47812
NA NA NA 1337 NA 1340 1339 1338 1338 1338
NA NA NA 20557 NA 20557 20557 20557 20557 20557
NA NA NA 159746 NA NA NA 159517 160287 159895
NA NA NA 686 NA NA NA 686 686 688
NA NA NA NA NA NA NA 47812 47954 47812
NA NA NA NA NA NA NA 1338 1338 1338
