"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
78424 78443 78432 78448 78384 78434 78422 78419 NA NA NA
75676 75534 75842 74841 74947 74927 75617 75423 NA 75525 75416
82956 83506 83120 82971 82963 83120 83200 83075 83225 83267 83233
47271 47306 47280 47278 47252 47194 47250 47263 47240 NA 47277
481 487 487 485 485 484 483 484 490 NA NA
19570 19566 19565 19565 19576 19565 19630 19570 19570 NA NA
64787 NA NA 65008 64929 64732 65059 64878 NA NA NA
148699 NA NA 148524 148543 148051 147908 148270 148329 148328 148245
52039 NA NA 52069 NA 52055 52051 52231 NA NA NA
949 NA NA 946 NA 954 951 950 958 NA NA
14138 NA NA 14138 NA 14138 14138 14138 NA 14138 14138
903 NA NA 903 NA 903 903 NA NA 903 903
1374 NA NA 1377 NA 1377 1377 NA NA NA NA
