"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12"
1524 1524 1524 1524 1524 1524 1524 NA NA NA 1524 1524
10876 10900 10898 10924 10918 10885 10876 NA NA 10949 10899 10885
5634 5627 5631 5640 5633 5626 5627 5633 5627 NA 5629 5629
18880 18880 18880 18880 18880 18880 18880 18880 18880 NA 18880 18880
1813 1811 1813 1826 1818 1810 1811 1816 1811 NA 1816 1811
196718 197095 197167 197089 197392 196617 196671 NA NA 196962 197015 196828
NA 66417 NA 66474 66641 66522 66235 NA NA 66633 66477 66355
NA 13590 NA 13590 13590 13590 13590 NA NA NA NA 13590
NA 60435 NA NA NA 59952 60038 60396 60450 60675 60399 60090
NA 19750 NA NA NA 19743 NA 19763 19774 NA NA 19766
NA 28940 NA NA NA 28940 NA NA NA 28940 28940 28940
NA 1015 NA NA NA 1015 NA NA NA NA NA 1015
NA 42304 NA NA NA 42226 NA NA NA NA NA 42144
