"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
13332 13332 13332 13332 13332 13332 13332 13332 13332 13332 13332
11041 11040 11040 11091 11040 11041 11040 11040 11040 11091 11040
19570 19570 19570 19570 19565 19570 19570 19565 19565 19570 19570
160746 160276 160737 160475 160684 160753 160486 160498 160085 160150 160186
21234 21225 21234 21231 21236 21225 21225 21227 21225 21225 21225
75568 75470 75392 74919 75165 75209 75376 75183 74835 74827 75029
NA 38387 NA 38520 38493 38487 38338 38368 38363 38397 38374
NA 47281 NA 47286 47285 47573 47262 47255 47221 47267 47253
NA 548 NA NA NA 548 548 548 548 548 548
NA NA NA NA NA NA 30684 30671 30676 30681 30681
NA NA NA NA NA NA NA NA 13332 13332 13332
