"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
192154 192467 192428 192682 192204 192170 192254 191967 192305 192434 192294
22822 22870 22827 22874 22838 22841 22815 22829 22883 22822 22814
134839 135841 135243 135479 136151 134888 135891 134909 NA 135447 135404
60329 60582 60748 NA NA 60550 60480 60358 60704 60346 60170
96075 96062 96116 NA NA 95801 95862 95826 96195 95916 96071
1524 1524 1524 1524 1524 1524 1524 1524 1524 1524 1524
116344 NA NA 116956 116463 116622 116417 116759 116534 116261 116839
20557 NA NA NA NA 20557 20557 20557 20557 20557 20557
75992 NA NA NA NA 76189 76163 75683 76317 75926 75824
35309 NA NA NA NA NA NA 35384 35353 35331 35324
6460 NA NA NA NA NA NA 6460 NA 6460 6460
36414 NA NA NA NA NA NA NA NA 36413 36473
28940 NA NA NA NA NA NA NA NA 28940 28940
