"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
25569 25569 25594 25575 25572 NA 25573 25575 25575 25569 25569
1034 1034 1034 1034 1034 NA NA 1034 1034 1034 1034
11642 11669 11669 11669 11678 11685 11658 11678 11675 11668 11836
1145 1145 1145 1145 1145 1145 1145 1145 1145 1145 1145
28940 28940 28940 28940 28940 NA NA 28940 28940 28940 28940
27591 27591 27591 27591 27591 27591 27591 27591 27591 27591 27591
224071 NA NA 224110 224166 224765 224156 224024 223915 224128 223782
903 NA NA 903 903 NA NA 903 903 903 903
95918 NA NA NA NA 96264 96255 96105 95893 95844 95966
45607 NA NA NA NA NA NA 45607 45692 45607 45607
781 NA NA NA NA NA NA 780 783 774 775
26376 NA NA NA NA NA NA NA NA 26390 26388
21228 NA NA NA NA NA NA NA NA 21225 21225
