"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
117606 117606 117606 117606 117598 NA 117606 117595 117606 NA
69421 69430 69471 69354 69420 69534 69353 69357 69393 NA
79245 79102 79000 78460 78847 79219 78993 79067 79060 NA
75165 74991 75200 74612 74912 75167 75029 74587 75071 74612
12747 12747 12747 12747 12747 12747 12747 12747 12747 12747
776 770 776 768 771 NA 768 764 773 NA
NA 14138 NA 14138 14138 NA 14138 14138 14138 14138
NA 993 NA 993 991 NA 990 991 990 993
NA 22815 NA 22822 22867 22925 22843 22904 22834 NA
NA 147854 NA 147419 148040 NA 148193 147648 147781 NA
NA 117606 NA 117606 117610 NA 117606 117595 117606 NA
NA 69479 NA 69354 69420 NA 69353 69359 69390 69354
NA 993 NA 993 991 NA 990 991 990 NA
