"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
33607 33612 33614 33602 33546 33544 33608 NA NA 33626 33648
47847 47812 47812 47812 47885 48034 47944 NA NA 47812 47812
107150 107074 107096 107160 107078 107095 107029 107097 107040 107083 107080
11642 11669 11674 11651 11675 11647 11669 11696 11669 11738 11669
116991 116521 118332 116624 116733 116285 115936 117001 116029 116075 116457
8407 8407 8407 8407 8407 8407 8407 NA 8407 8407 8407
NA 45607 NA 45607 45607 45607 45607 NA NA 45607 45607
NA 820 NA 820 820 820 820 NA NA 820 820
NA 20557 NA NA NA 20557 20557 20583 20557 20557 20557
NA 56199 NA NA NA NA 56203 56327 56359 56145 56252
NA 18880 NA NA NA NA 18880 NA NA 18880 18880
NA 47338 NA NA NA NA 47286 NA NA 47312 47387
NA 24290 NA NA NA NA 24440 NA NA 24241 24286
