"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
51991 52315 52287 52069 51943 52011 51856 51814 51834 51822 52130
6460 6460 6460 6460 6460 6460 6460 6460 6460 6460 6460
155155 155561 155626 155368 155428 155222 155118 156034 155178 155101 155411
197271 197460 196609 197253 196876 196685 197025 196802 196693 197234 197311
618 618 627 620 616 622 617 617 615 620 619
28940 28940 28940 28940 28940 28940 28940 28940 28940 28940 28940
18880 NA NA 18880 18880 18880 18880 18880 18880 18880 18880
101415 NA NA 101558 101384 101240 101082 101082 101340 101082 101574
NA NA NA NA 47812 47951 47856 47815 47955 47856 47812
NA NA NA NA NA NA 109891 109802 110013 109600 110525
NA NA NA NA NA NA NA 89931 NA 89895 90347
