"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
75407 75069 75282 74841 74623 74689 75323 74505 74773 74768
86473 86607 86473 86407 86239 86377 86682 86171 86211 86128
66494 66546 66618 66582 66458 66458 66488 66399 66606 66424
13332 13332 13332 NA 13332 13332 13332 13332 13332 13332
58622 58646 58601 NA 58634 58628 58578 58622 58627 58624
87242 87315 87285 87248 86944 87031 87196 86897 87118 87114
28940 NA NA 28940 28940 28940 28940 28940 28940 28940
40499 NA NA NA 40540 40636 40503 40540 40487 40484
NA NA NA NA 33622 33657 33604 33584 33580 33623
NA NA NA NA 21225 21380 21366 21220 21220 21220
NA NA NA NA 27086 NA NA 27086 27042 27042
NA NA NA NA 993 NA NA 991 991 991
NA NA NA NA 26370 NA NA 26370 26362 26381
NA NA NA NA 1145 NA NA 1145 1145 NA
