"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
51394 51500 51344 51202 51379 51426 51379 51270 51320 NA NA
1378 1377 1378 1377 1378 1367 1377 1377 1378 NA NA
10133 10179 10179 10179 10179 10179 10179 10179 10157 NA NA
110260 109975 110169 109793 110432 110155 109883 109534 110057 110336 109954
90117 90222 90147 89741 90039 90531 90045 89798 90126 90410 90153
224577 223905 224077 224225 224304 224510 224285 223802 224496 NA NA
NA 8407 NA 8407 8407 8407 8407 8407 8407 NA NA
NA 69504 NA 69376 69500 69534 69353 69379 69415 69494 69430
NA 83163 NA 82891 NA 83457 82872 82941 83173 NA NA
NA 1145 NA 1145 NA 1145 1145 1145 1145 1145 1145
NA 51538 NA 51202 NA 51426 51379 51270 NA 51460 51443
NA 1377 NA 1377 NA 1367 1377 1377 NA NA NA
