"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
34308 34275 34233 34258 34291 34273 34294 34308 34259 34258 34299
36471 36429 36499 36443 36407 36438 36468 36446 36428 36408 36438
66348 66417 66626 66294 66364 66513 66601 66574 66452 66426 66348
117606 117613 117626 117606 117606 117617 117595 117617 117606 117606 117606
25915 25924 25995 25899 25918 25896 25905 25944 25904 25897 25914
121867 121859 121956 121309 121856 121848 121851 121866 121888 121860 121590
63166 NA NA 63228 63268 63366 63323 63212 63281 63184 63438
116355 NA NA 116049 116411 116913 116887 116727 116246 116064 116168
NA NA NA 28940 NA 28940 28940 28940 28940 28940 28940
NA NA NA 20557 NA NA NA 20557 20557 20557 20557
NA NA NA 43448 NA NA NA NA NA 43448 43448
