"1" "2" "3" "4" "5" "6" "7" "8" "9"
60776 60563 60185 60128 60479 60129 60082 60267 60446
21900 21817 21874 21880 21855 21900 21799 21796 21900
38470 38283 38356 38520 38403 38318 38352 38356 NA
1145 1145 1145 1145 1145 1145 1145 1145 NA
5633 5626 5624 5627 5629 5627 5624 5627 NA
NA 27047 27042 27042 27044 27042 27042 27042 27042
NA 67178 67229 67165 67445 67018 67237 67079 67300
NA 223905 NA 224131 224193 223632 224153 223776 NA
NA 1034 NA 1034 1034 1034 1034 1034 NA
NA 903 NA NA NA 903 903 903 903
NA 60563 NA NA NA 60093 60082 60267 60378
NA NA NA NA NA 21900 21799 21796 NA
NA NA NA NA NA 223650 224171 223703 NA
NA NA NA NA NA 1034 1034 1034 1034
NA NA NA NA NA 1145 1145 1145 NA
NA NA NA NA NA 27042 27042 27042 NA
NA NA NA NA NA 38318 38371 38360 NA
