"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
10933 10916 10916 10916 10916 NA NA 10933 10933 10933 NA
147855 147894 147792 147807 147876 147874 147883 147926 147809 147780 NA
14971 14971 14971 14971 14971 14971 14971 14971 14971 14971 14971
38768 38909 38713 38755 38835 38802 38718 38849 38841 38705 38821
1145 1145 1145 1145 1145 1145 1145 NA 1145 1145 NA
1083 1074 1077 1081 1080 1080 1081 1081 1075 1082 NA
NA NA 15700 15700 15700 NA NA 15700 15700 15700 NA
NA NA 51198 51238 51314 51240 51298 NA 51199 51115 51293
NA NA 14138 14138 NA 14138 14138 14138 14138 14138 14138
NA NA 618 618 NA NA NA 621 614 617 NA
NA NA 10916 10916 NA NA NA NA 10933 10933 NA
NA NA 147792 147807 NA NA NA NA NA 147781 147799
NA NA 51198 51233 NA NA NA NA NA 51115 NA
NA NA 14138 14138 NA NA NA NA NA 14138 NA
