"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
140471 141027 141047 140530 NA 141132 141310 NA 140361 140667
1077 1081 1082 1084 1078 1084 NA 1089 1081 1076
60509 60605 60760 60430 60732 60678 60795 60829 60391 60716
148690 147698 149218 148270 148888 148139 148947 148363 148317 147560
78461 78398 78460 78443 78465 78465 NA 78449 78443 78420
40445 40534 40448 40445 40497 40497 40542 40467 40437 40476
33607 NA NA 33562 33635 33664 33629 33622 33577 33587
108023 NA NA 108198 NA 108325 NA 108219 108037 108201
NA NA NA 26692 NA 26656 26766 26652 26650 26678
NA NA NA 17061 NA 17042 NA 17058 17069 17044
NA NA NA 21245 NA NA NA 21245 21245 21245
NA NA NA 155705 NA NA NA NA 155376 155109
NA NA NA 1275 NA NA NA NA 1278 1279
NA NA NA 1341 NA NA NA NA 1334 1351
NA NA NA 19565 NA NA NA NA 19629 19570
