"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
44260 44263 44225 44263 44260 44269 44260 44260 44263 44260 44260
26381 26374 26413 26362 26370 26421 26400 26383 26362 26383 26362
14138 14138 14138 14138 14138 14138 14138 14138 14138 14138 14138
51937 52189 52202 52052 51912 51832 51801 51808 51830 51808 52097
25861 25943 25972 25921 25897 25950 25911 25912 25876 25911 25872
333280 333692 333880 333742 333366 333185 333372 333404 333430 333198 333668
137852 NA NA 138108 137516 137214 137381 137502 137638 137357 137971
29988 NA NA 29896 29970 29907 29891 29907 29933 29907 29931
NA NA NA NA 38345 38326 38362 38355 38311 38355 38423
NA NA NA NA NA NA 1084 1081 1082 1081 1079
NA NA NA NA NA NA 25569 NA NA 25569 25569
