"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
31105 31156 31280 31107 31103 31155 31206 31103 31297 31105 31103
26612 26682 26679 26656 26612 26650 26610 26638 26643 26612 26613
12747 12747 12747 12747 12747 12747 12747 12747 12747 12747 12747
38333 38419 38402 38342 38345 38338 38336 38343 38287 38318 38401
56101 56462 56266 56416 56058 56332 56130 55946 56191 55887 56085
117606 NA NA 117606 117606 117595 117606 117613 117610 117610 117606
24145 NA NA 24145 24145 24145 24145 24145 24145 24145 24145
1617 NA NA NA NA 1639 1620 1621 1615 1617 1620
26012 NA NA NA NA 26170 26038 26104 26104 26093 26097
55539 NA NA NA NA NA NA 55539 55539 55539 55539
66494 NA NA NA NA NA NA 66492 66444 66546 66549
18880 NA NA NA NA NA NA NA NA 18880 18880
