".ID.","nbIterTraces","nbGranular","mu","lambda","nbElite","nbClose","nbIterPenaltyManagement","targetFeasible","penaltyIncrease","penaltyDecrease",".PARENT."
1,"250","25","25","20","5","8","100","0.3","1.2","0.75",NA
2,"700","15","20","60","7","4","150","0.5","1.3","0.85",NA
3,"250","15","25","40","3","6","150","0.2","1.3","0.65",NA
4,"500","15","20","20","3","6","100","0.3","1.2","0.85",1
5,"700","25","30","20","5","4","100","0.3","1.2","0.75",1
6,"250","25","30","60","5","6","100","0.5","1.3","0.65",1
7,"250","25","25","60","5","8","100","0.5","1.2","0.75",1
8,"250","25","25","20","5","8","100","0.3","1.2","0.65",1
9,"250","25","25","60","5","4","100","0.4","1.2","0.75",1
10,"250","25","25","20","5","8","100","0.3","1.2","0.65",8
11,"250","25","25","20","5","8","50","0.3","1.2","0.65",8
