"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
30686 30680 30671 30702 30671 NA 30700 30671 30671 30680
87449 87118 87288 87142 87371 87225 87024 87095 87370 87080
47812 47891 47812 47812 47812 47954 47812 47812 47812 47948
16876 16876 16876 16876 16876 16876 16876 16876 16876 16876
19261 19230 19230 19244 19244 19232 19230 19261 19257 19244
25886 26024 25872 25899 25922 25902 25882 25960 25924 25935
NA NA 13620 13620 13620 13621 13620 13620 13620 13620
NA NA 110075 109381 109837 110016 109710 109984 110053 109693
NA NA 20325 NA NA 20396 20380 20299 20334 20302
NA NA 74667 NA NA NA 74322 74285 74617 73972
NA NA 30671 NA NA NA NA 30671 30671 30680
NA NA 87288 NA NA NA NA 87095 87370 87079
NA NA NA NA NA NA NA 110000 110053 109710
NA NA NA NA NA NA NA 20364 20361 20302
