"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
37275 37283 37356 37278 37274 37278 37281 NA NA NA
64556 64973 64981 64672 64834 64920 NA 64816 64953 64838
26376 26362 26406 26381 26381 26362 26396 26386 26362 26386
95708 96050 96099 95853 95787 95604 NA 96088 95881 95816
58623 58578 58617 58578 58578 58661 NA 58628 58681 58578
19761 19750 19791 19789 19749 19779 NA 19773 19749 19760
223965 224350 NA 223911 223766 223565 224414 NA NA NA
22821 NA NA 22840 22833 22840 NA 22852 22879 22829
15711 NA NA 15700 15700 15700 NA 15700 15700 15700
11040 NA NA NA 11040 11091 NA 11042 11040 11040
68862 NA NA NA 68850 69066 68961 NA NA 68901
83637 NA NA NA 83648 83808 84044 84020 83800 83725
6460 NA NA NA 6460 6460 NA 6460 6460 6460
333170 NA NA NA 333689 333163 NA NA NA NA
