"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
147963 147865 148009 147891 147773 148032 147854 147899 147789 147959 147811
37285 37296 37367 37278 37278 37282 37278 37278 37278 37274 37274
1274 1278 1275 1275 1275 1275 1275 1275 1275 1275 1275
27050 27042 27057 27086 27042 27044 27042 27042 27042 27050 27042
45607 45607 45607 45607 45607 45607 45607 45607 45607 45607 45607
86701 86511 86744 86419 86554 86464 86572 86788 86447 86514 86433
8407 NA NA 8407 8407 8407 8407 8407 8407 8407 8407
1145 NA NA 1145 1145 1145 1145 1145 1145 1145 1145
NA NA NA NA 51332 51335 51330 51399 51304 51222 51139
NA NA NA NA 14138 NA NA 14138 14138 14138 14138
NA NA NA NA NA NA NA NA 94414 94182 94347
