"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
155162 155118 155777 155273 155197 155585 155213 155245 NA 155183 NA
34308 34275 34231 34291 34273 34312 34316 34316 NA 34308 34308
18880 18880 18880 18880 18880 18880 18880 18880 18880 18880 NA
858 858 858 861 859 856 858 858 861 861 NA
160358 160275 160447 160578 160902 160084 160264 160423 160705 160294 160308
35309 35413 35349 35370 35324 35338 35371 35406 35416 35309 35324
NA 27042 NA 27042 27042 27050 27042 27042 NA 27042 NA
NA 20392 NA 20459 20467 20383 20382 20344 NA 20323 20370
NA 74859 NA NA NA 74843 75010 74817 75158 74852 NA
NA NA NA NA NA 521 NA 521 521 521 NA
NA NA NA NA NA 52094 NA 52044 NA 51865 NA
NA NA NA NA NA 108030 NA 108040 NA 108022 108162
NA NA NA NA NA 140855 NA 140284 NA 140823 NA
NA NA NA NA NA 110072 NA 110083 NA 109952 NA
