"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
38820 38789 38903 38805 38735 NA NA 38701 38699 38705 38713
21245 21265 21256 21245 21245 NA NA 21245 21245 21245 21245
17064 17005 17095 17022 17023 17036 17032 17039 17049 17004 17070
6460 6460 6460 6460 6460 6460 6460 6460 6460 6460 6460
74090 74757 74471 74211 74532 NA NA 74396 74362 73972 74137
29936 29941 29971 29905 29941 29946 29976 29895 29902 29950 29932
89436 NA NA 89536 89541 89597 89618 89512 89356 89443 89364
40445 NA NA 40445 40490 NA NA 40463 40437 40437 40448
NA NA NA 615 NA 623 622 625 615 615 618
NA NA NA 63228 NA NA NA 63212 63281 63106 63260
NA NA NA 106989 NA NA NA 107103 106985 107031 106985
NA NA NA NA NA NA NA NA 147877 147854 147737
NA NA NA NA NA NA NA NA 134796 135101 135340
