"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
865 865 865 865 865 865 865 865 865 865 865
26376 26362 26406 26381 26386 26384 26381 26381 26370 26381 26381
25569 25569 25594 25575 25572 25574 25569 25575 25575 25569 25572
107021 107057 107083 106999 107066 107080 107100 107062 107038 107032 107026
820 820 820 820 820 820 820 820 820 820 820
16876 16876 16876 16876 16876 16876 16876 16876 16876 16876 16876
688 NA NA 688 687 686 687 686 686 686 686
1813 NA NA 1812 1813 1822 1816 1816 1814 1813 1814
30671 NA NA NA NA 30683 30678 30671 30659 30659 30672
12747 NA NA NA NA NA NA 12747 12747 12747 12747
NA NA NA NA NA NA NA NA 25916 25922 25924
