"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
1278 1275 1275 1275 1275 1275 1278 1276 1275 1275 1275
56616 56120 56267 55763 56386 56199 56083 55741 56153 56115 55820
42924 42907 42922 42879 43002 43106 42858 42878 42876 42834 42888
38470 38283 38356 38520 38403 38276 38285 38393 38291 38318 38352
37278 37469 37425 37468 37291 37326 37284 37308 37454 37316 37406
5633 5626 5624 5627 5629 5630 5629 5627 5624 5629 5627
NA 33640 NA 33623 33647 33675 33618 33602 33555 33624 33599
NA 66350 NA 66262 66454 66591 66391 66380 66490 66534 66213
NA NA NA 58628 NA 58628 58620 58628 58608 58578 58620
NA NA NA NA NA NA 19230 19243 19261 19252 19244
NA NA NA NA NA NA 1278 NA NA 1275 1275
