"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
903 903 903 903 903 903 903 903 903 NA
44111 44299 44425 44194 44149 44216 44321 44311 44097 NA
42164 42304 42321 42147 42192 42183 42350 42230 42120 42229
25569 25569 25594 25575 25572 25573 25569 25569 25573 NA
117606 117613 117626 117606 117606 117606 117606 117607 117613 NA
815 815 NA 815 815 815 815 815 815 NA
137527 NA NA 137777 137779 138122 138513 138219 137803 NA
42857 NA NA 42844 42849 43053 NA 42927 42793 42920
27625 NA NA 27601 27617 27694 27681 27628 27651 27650
74090 NA NA 74211 74604 74299 NA 74562 74481 74366
78434 NA NA 78425 78401 78447 NA 78421 78422 NA
830 NA NA 830 830 830 NA 830 NA 830
616 NA NA 615 614 NA NA NA NA NA
