"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
64732 64799 64860 64950 64815 64569 64780 64464 64690 64668 65030
31105 31144 31262 31107 31103 31281 31125 31211 31103 31175 31103
765 774 777 773 766 759 764 759 764 759 764
26381 26374 26413 26362 26370 26421 26421 26386 26378 26396 26370
22822 22847 22822 22867 22834 22825 22835 22837 22831 22842 22862
10145 10117 10179 10109 10094 10179 10179 10179 10122 10179 10146
192108 NA NA 192682 191785 191403 191758 191717 192096 191747 192230
25743 NA NA 25743 25745 25745 25743 25743 25806 25764 25789
NA NA NA NA 820 820 820 820 820 820 820
NA NA NA NA NA 25950 NA 25924 25897 25921 25924
NA NA NA NA NA NA NA 65583 NA 65713 65753
