"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
820 820 820 820 820 820 820 820 820 820
19261 19261 19265 19232 19232 19261 19261 19261 19261 19230
74155 75052 74656 74435 74773 74609 75100 74714 74373 74342
993 991 991 990 991 991 995 993 993 991
548 548 548 548 548 548 548 548 548 548
14138 14138 14138 14138 14138 14138 14138 14138 14138 14138
17076 NA NA 17047 17026 17046 17047 17057 17069 16991
87431 NA NA 87295 87437 87340 87460 NA 87277 87134
NA NA NA 64811 NA 65334 64790 65100 64818 64809
NA NA NA 21225 NA 21220 21228 21228 21225 21225
NA NA NA 13332 NA 13332 13332 NA 13332 13332
NA NA NA 137799 NA 138744 138530 NA NA 137753
NA NA NA 58578 NA 58622 58744 NA NA 58632
