"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
486 481 489 488 487 481 494 485 485 485 487
66550 66629 66703 66328 66414 66729 66806 66852 66527 66630 66673
43448 43448 43448 43448 43448 43448 43448 43448 43448 43448 43448
21245 21265 21257 21245 21245 21245 21245 21245 21245 21245 21245
24145 24145 24145 24145 24145 24155 24145 24145 24145 24147 24145
67350 67706 67634 67424 67363 67940 67595 67634 67338 67472 67232
865 NA NA 865 865 865 865 865 865 865 865
8460 NA NA 8460 8460 8460 8460 8464 8453 8460 8472
140471 NA NA NA NA 141031 141070 140529 140696 140812 140944
25917 NA NA NA NA NA NA 25899 25932 25922 25926
NA NA NA NA NA NA NA NA 954 944 946
