"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
21245 21265 21279 21251 21245 21245 21331 21245 21265 21267 NA
6460 6460 6460 6460 6460 6460 6460 6460 6460 6460 6460
69397 69362 69457 69443 69421 69446 69341 69320 69329 69291 NA
19261 19261 19265 19266 19261 19261 19230 19261 19261 19261 NA
160956 160559 160468 160745 161011 160384 160469 160779 160209 160211 160402
89776 89467 89757 89766 89648 89699 89440 89539 89372 89595 89652
NA 25796 NA 25743 25751 25787 25787 25789 25745 25789 NA
NA 87132 NA 87409 87528 87294 87284 87410 87269 87225 87292
NA 27591 NA NA NA 27591 27591 27591 27591 27591 NA
NA NA NA NA NA NA 101652 101548 101631 101163 NA
NA NA NA NA NA NA 21891 NA 21852 21885 21901
NA NA NA NA NA NA 140067 NA 140805 139925 NA
NA NA NA NA NA NA 815 NA 815 815 NA
