"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
5624 5634 5633 5633 5624 5626 5624 5624 5624 5631
107131 107087 107242 106969 107024 107060 107173 106934 106997 106995
14971 14971 14971 14971 14971 14971 14971 14971 14971 14971
21805 21872 21846 21846 21831 21923 21885 21826 21836 21901
78424 78456 78432 78448 78384 NA 78420 78373 78417 78363
135447 135674 135384 135479 135257 135332 134830 135221 136057 135685
8460 NA NA 8460 8452 8468 8460 8454 8429 8466
40517 NA NA 40437 40540 NA 40503 40540 40487 40484
NA NA NA NA 45607 45607 45607 45607 45607 45607
NA NA NA NA 11040 NA 11040 11040 11040 11040
NA NA NA NA 1145 NA NA 1145 1145 1145
NA NA NA NA 43448 NA NA 43448 43448 43448
NA NA NA NA NA NA NA 60034 60166 60309
NA NA NA NA NA NA NA 17002 17017 16995
