"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
11642 11642 11656 11669 11696 11642 11642 11642 11669 11642 11669
108026 108039 108005 108217 107963 107846 107934 107986 108132 108022 107981
137852 138330 138030 137946 137382 137831 137083 137498 137930 137732 137579
134678 135254 134587 134978 134948 134862 135644 135210 135060 134538 135206
815 815 815 815 815 815 815 815 815 815 815
83584 83609 83902 83470 83412 83849 83669 83417 83670 83495 83610
21265 NA NA 21245 21265 21312 21265 21245 21245 21265 21245
10861 NA NA 10915 10906 10883 10873 10899 10873 10861 10889
26612 NA NA NA NA 26636 26606 26593 26606 26612 26628
95580 NA NA NA NA NA NA 95741 95633 95580 95800
NA NA NA NA NA NA NA 865 NA 865 865
