"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12"
86470 86587 86695 86419 86620 86718 86765 NA NA 86750 86693 86603
38348 38472 38543 38369 38377 NA NA NA NA 38273 38403 38417
33585 33598 33614 33553 33635 33604 33587 33603 33652 33628 33592 33614
774 773 773 771 781 781 788 780 776 777 777 776
21809 21881 21916 21828 21902 NA NA 21882 21842 21902 21808 21894
135550 135451 135994 135720 135300 135442 135804 NA NA 136144 135251 134980
78435 NA NA 78442 78453 78455 78474 NA NA 78468 78454 78395
1813 NA NA 1814 1813 NA NA NA NA NA 1814 1812
83658 NA NA NA NA 84310 84130 84115 84228 84328 83884 83867
95820 NA NA NA NA NA NA 96273 96420 NA 95895 96102
107207 NA NA NA NA NA NA NA NA 107162 107113 107001
20423 NA NA NA NA NA NA NA NA NA 20374 20316
26108 NA NA NA NA NA NA NA NA NA 26012 26056
