"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
13590 13590 13590 13590 13590 NA 13590 13590 13590 13590
90117 90159 89950 89738 90202 90194 89932 89869 89805 89870
78394 78443 78404 78403 78475 78433 78417 78372 78417 78372
66053 65606 65696 65701 66030 65911 65552 65634 65759 65628
1015 1015 1015 1015 1015 1015 1015 1015 1015 1015
991 993 994 991 994 NA 993 993 990 993
101286 NA NA 100910 101218 NA 101056 100921 100923 100791
25886 NA NA 25975 25943 NA 25876 25962 25941 25957
NA NA NA 87233 NA 87404 87210 87006 87216 87006
NA NA NA 11685 NA NA 11642 11669 11678 11669
NA NA NA 13590 NA NA 13590 13590 13590 13590
NA NA NA 89745 NA NA 89997 89869 NA 89869
NA NA NA 25975 NA NA 25903 25962 NA 25962
NA NA NA 87233 NA NA 87223 87085 NA 87010
