"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
74667 75011 74849 74720 75078 74920 74902 74989 74727 74576 74634
79341 79467 79346 79231 79121 79379 79282 79278 78912 79076 79009
27591 27591 27591 27591 27591 27591 27591 27591 27591 27591 27591
10179 10130 10179 10179 10174 10107 10134 10138 10179 10160 10179
110090 110283 110300 110032 110171 110322 110125 110494 109739 110310 110075
76259 76038 76091 75771 76083 76248 76122 76158 75916 75953 75789
160480 NA NA 160533 160644 160867 160892 160704 160236 160431 160618
548 NA NA 548 548 548 548 548 548 548 548
NA NA NA 26674 NA 26656 26691 26652 26650 26625 26641
NA NA NA 147891 NA NA NA 147955 147927 147854 147740
NA NA NA NA NA NA NA NA 19261 19244 19244
