"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
66597 66728 66703 66366 66369 NA NA NA 66496 66600 66452
488 481 490 486 484 NA NA NA 486 486 487
138264 138366 137719 137799 137779 138582 138530 138276 137671 137969 137721
134856 135579 136142 134692 135300 136050 135868 135367 134871 135188 135184
52076 52275 52508 51963 52436 NA NA 52113 52059 52046 51889
42164 42304 42340 42170 42260 42341 42448 NA 42113 42116 42171
28940 NA NA 28940 28940 28940 28940 NA 28940 28940 28940
122002 NA NA 122044 122153 NA NA NA 121888 121623 121855
NA NA NA 21225 NA 21231 21228 21228 21225 21220 21225
NA NA NA 34272 NA NA NA 34311 34259 34273 34259
NA NA NA 38822 NA NA NA NA 38699 38708 38713
NA NA NA 37278 NA NA NA NA 37305 37287 37328
NA NA NA 74358 NA NA NA NA 74681 74221 74391
NA NA NA 10885 NA NA NA NA 10863 10864 10889
