"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
107119 107033 107137 107025 107058 NA 107009 106971 107004 106967
74704 74710 74617 74360 74783 74952 74777 74521 74693 74434
121985 121668 121708 121613 121898 122043 121862 121630 121695 121461
197102 196964 196913 196783 196929 196810 196641 196483 196760 196483
140795 140255 140694 140400 140375 140651 140364 140395 140517 140384
55552 55386 55176 55131 55604 NA 55177 55263 55255 55263
NA 19230 NA 19336 19261 NA 19230 19243 19261 19243
NA 548 NA 548 548 NA 548 548 548 548
NA NA NA 13620 NA 13622 13620 13620 13620 13620
NA NA NA 155501 NA NA 155222 155072 155256 155058
NA NA NA 107012 NA NA 107022 106988 107004 106962
NA NA NA 74360 NA NA 74777 74521 74693 74492
NA NA NA 548 NA NA 548 548 548 548
