"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
36471 36429 36499 36443 36407 36471 36442 NA 36413 NA 36431
548 548 548 548 548 548 548 NA 548 548 548
82909 83120 83158 82883 83091 83290 83373 83213 82841 83007 82852
37275 37283 37341 37278 37274 37278 37278 37278 37278 37281 37274
24145 24145 24145 24145 24145 24145 24145 24147 24145 24145 24145
12747 12747 12747 12747 12747 12747 12747 12747 12747 12747 12747
76115 NA NA 75740 75945 76148 75927 76115 75796 NA 76118
78434 NA NA 78435 78408 78412 78428 NA 78421 78393 78390
NA NA NA NA 1341 1339 1341 1341 1339 1341 1340
NA NA NA NA 14971 NA NA 14971 14971 14971 14971
NA NA NA NA 101159 NA NA NA 101183 101107 100997
NA NA NA NA 8407 NA NA NA NA 8407 8407
NA NA NA NA 19749 NA NA NA NA NA 19740
