"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
35379 35324 35324 35384 35358 35340 35325 35307 35373 35309
75568 75433 75775 75096 75165 75507 75418 75387 74925 75077
135848 135748 136239 135148 136177 136261 135751 135086 135657 135132
38704 38387 38356 38520 38478 38511 38339 38307 38543 38358
47321 47245 47243 47285 47279 47623 47262 47278 47265 47291
16876 16876 16876 16876 16876 16879 16876 16876 16876 16876
NA 160499 NA 160467 160513 160747 160368 160515 160640 160832
NA 14138 NA 14138 14138 14138 14138 14138 14138 14138
NA 117625 NA NA NA 117606 117617 117607 117607 117606
NA 155365 NA NA NA NA 155286 155344 155380 155363
NA NA NA NA NA NA 35354 35307 35373 35309
NA NA NA NA NA NA 75025 75393 75271 75430
NA NA NA NA NA NA NA 14138 14138 14138
NA NA NA NA NA NA NA 117630 117607 NA
