"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
12747 12747 12747 12747 12747 12747 NA 12747 12747 12747 12747
27591 27591 27591 27591 27591 NA NA 27591 27591 27591 27591
21809 21881 21916 21828 21907 21872 21928 21810 21886 21813 21878
101340 101294 101197 101298 101202 101691 101791 101408 101361 101162 100935
548 548 548 548 548 NA NA 548 548 548 548
848 848 848 848 848 848 848 848 848 848 848
992 NA NA 990 991 993 995 994 993 990 991
14971 NA NA 14971 14971 NA NA 14971 14971 14971 14971
NA NA NA 13332 NA 13332 13332 13332 13332 13332 13332
NA NA NA 96134 NA NA NA 95938 96046 96130 96133
NA NA NA 10885 NA NA NA 10940 10885 10874 10912
NA NA NA 8460 NA NA NA NA NA 8460 8460
NA NA NA 38863 NA NA NA NA NA 38833 38712
