"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
56095 56215 56353 56253 56203 NA NA 56663 56313 56293 56382
1636 1638 1631 1632 1632 NA NA NA 1627 1620 1626
95770 96336 96324 95965 95966 96357 96236 96345 95968 95848 96019
45607 45607 45607 45607 45607 45607 45607 45607 45607 45607 45607
25583 25569 25594 25575 25577 NA NA 25576 25569 25573 25569
66633 66787 66808 66328 66521 66536 66656 66730 66496 66599 66412
620 NA NA 617 621 629 626 625 617 619 620
11642 NA NA 11677 11678 NA NA NA 11642 11669 11669
NA NA NA 90184 NA 90437 90488 90121 90075 90094 89930
NA NA NA 14138 NA NA NA 14138 14138 14138 14138
NA NA NA 37300 NA NA NA NA 37284 37287 37306
NA NA NA NA NA NA NA NA 1341 1341 1339
NA NA NA NA NA NA NA NA 15700 15711 15700
NA NA NA NA NA NA NA NA 47948 47812 47812
