"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
521 521 521 521 521 521 521 521 521 521 521
35309 35330 35324 35309 35413 35309 35338 35326 35324 35309 35374
865 865 865 865 865 865 865 865 865 865 865
42225 42328 42283 42153 42147 42267 42187 42216 42266 42272 42191
18880 18880 18880 18880 18861 18880 18880 18880 18880 18880 18880
74808 74845 74800 74570 74370 74339 74668 74212 74629 74331 74588
830 NA NA 830 830 830 830 830 830 830 830
1617 NA NA 1635 1620 1614 1615 1622 1617 1619 1632
NA NA NA NA 1145 1145 1145 1145 1145 1145 1145
NA NA NA NA NA 22825 NA 22837 22835 22839 22859
NA NA NA NA NA 89786 NA NA NA 89870 90094
