"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12"
20557 20557 20557 20557 20557 NA 20557 20557 20557 20557 20557 20557
223729 224350 224357 223911 223948 NA NA 224169 224237 223557 223734 223817
1619 1634 1624 1629 1623 1646 1635 1630 1635 1612 1622 1619
65611 65722 65832 65600 65865 66209 65703 65781 65672 65634 65525 65654
25915 25924 26033 25900 25918 NA NA 25909 25937 25920 25876 25914
1377 NA NA 1377 1378 1377 1377 1378 1377 1377 1377 1377
11040 NA NA 11040 11040 11040 11040 11040 11040 11091 11091 11040
1339 NA NA NA NA 1359 1352 1347 1345 1335 1340 1337
5638 NA NA NA NA NA NA 5634 5626 5629 5627 5624
83626 NA NA NA NA NA NA NA NA 83578 83632 83798
31130 NA NA NA NA NA NA NA NA 31243 31187 31105
78899 NA NA NA NA NA NA NA NA 78952 78990 NA
