"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
521 521 521 521 521 521 521 521 521 NA 521
83978 83763 83748 83589 83854 83780 83825 83597 83667 NA NA
30686 30680 30671 30699 30671 30680 30673 30680 30679 NA NA
19565 19570 19570 19565 19570 19570 19570 19570 19699 19570 19565
20378 20303 20342 20281 20367 20430 20298 20266 20349 20357 20346
40437 40529 40476 40508 40515 40505 40541 40541 40508 40541 40540
NA NA 15700 15700 15700 15718 15700 15700 15700 NA NA
NA NA 1015 1015 1015 1015 1015 1015 1015 1015 1015
NA NA 63318 62978 NA 63286 63180 63051 63237 NA NA
NA NA 950 935 NA 960 NA 940 947 945 945
NA NA 521 521 NA 521 NA 521 NA 521 521
NA NA 83748 83608 NA 83780 NA 83714 NA NA NA
