"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
485 485 486 484 487 485 480 487 488 487 483
830 830 830 830 830 830 830 830 830 830 830
8460 8464 8460 8460 8460 8460 8467 8472 8460 8467 8460
107119 107027 107137 107009 107126 107055 107009 106945 107017 107051 106981
155113 155294 155260 155262 155252 154768 155267 155132 155074 155087 155139
148205 147995 147906 147681 148314 147814 148285 147720 148102 147617 147674
26664 NA NA 26599 26699 26659 26627 26669 26612 26702 26617
28940 NA NA 28940 28940 28940 28940 28940 28944 28940 28940
NA NA NA 100919 NA 101323 101165 100921 100852 101000 100913
NA NA NA 34308 NA NA NA 34308 34234 34308 34308
NA NA NA 484 NA NA NA NA NA 487 483
