"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
147981 147926 147699 148110 147785 147397 NA 147909 147965 147539
27662 27644 27606 27679 27610 27546 NA 27703 27536 27546
42325 42147 42114 42204 42160 42157 42209 42120 42120 42168
66535 66390 66496 66290 66621 66459 NA 66649 66609 66482
21245 21254 21245 21245 21245 21245 21245 21245 21245 21245
1819 1814 1813 1813 1815 1811 NA 1811 1815 1813
NA 55539 55551 55539 55539 55539 NA 55539 55539 55539
NA NA 27042 27042 27050 27042 27042 27042 27042 27042
NA NA 224077 223694 224296 224094 NA 224189 224316 224215
NA NA 74683 NA NA 74475 74639 74666 74850 74475
NA NA 147664 NA NA 147490 NA 148552 148183 147762
NA NA NA NA NA 27546 27587 27703 27536 27546
NA NA NA NA NA 27047 NA 27042 27042 27042
