".ID.","nbIterTraces","nbGranular","mu","lambda","nbElite","nbClose","nbIterPenaltyManagement","targetFeasible","penaltyIncrease","penaltyDecrease",".PARENT."
1,"250","25","25","20","5","8","100","0.3","1.2","0.75",NA
2,"700","15","20","60","7","4","150","0.5","1.3","0.85",NA
3,"250","15","25","40","3","6","150","0.2","1.3","0.65",NA
4,"250","20","25","60","3","6","150","0.5","1.3","0.75",2
5,"500","15","30","60","7","8","150","0.5","1.3","0.85",2
6,"700","15","30","40","7","6","150","0.3","1.2","0.65",2
7,"700","15","20","40","7","4","150","0.3","1.3","0.85",2
8,"700","15","20","40","7","4","150","0.5","1.3","0.65",7
9,"700","15","20","60","7","8","150","0.5","1.3","0.85",7
10,"700","15","20","40","7","4","150","0.3","1.3","0.85",7
11,"700","15","20","40","7","4","50","0.3","1.3","0.85",7
