"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
21234 21225 21234 21366 21226 21225 21225 21225 21225 21225 21231
90062 90159 89950 89876 90137 90052 89965 90172 90031 89851 89939
17018 17103 17101 17062 17006 17026 17011 17030 17026 17019 17012
1378 1377 1377 1377 1377 1377 1377 1378 1377 1377 1377
1015 1015 1015 1015 1015 1015 1015 1015 1015 1015 1015
37278 37469 37424 37442 37285 37278 37290 37285 37426 37280 37275
NA NA 24145 24145 24145 24145 24145 24145 24145 24145 24145
NA NA 11040 11040 11040 11091 11040 11040 11040 11040 11091
NA NA NA NA 20583 20557 20557 20557 20557 20557 20557
NA NA NA NA NA NA 64808 65026 64648 64605 64695
NA NA NA NA NA NA 21225 NA NA 21225 21231
