"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
1015 1015 1015 1015 1015 1015 1015 1015 1015 1015 NA
75891 76007 76149 75997 75807 75885 75870 75743 75761 75828 76055
616 617 621 619 616 616 615 619 617 619 617
10949 10949 10916 10933 10949 10933 10934 10940 10933 10940 10947
521 521 521 521 521 521 521 521 521 521 NA
941 964 946 943 929 932 937 934 943 929 NA
12747 NA NA 12747 12747 12747 12747 12747 12747 12747 NA
686 NA NA 686 687 686 686 687 687 686 688
NA NA NA NA 36450 36449 36467 36488 36409 36457 NA
NA NA NA NA NA 16876 NA 16876 16876 16876 NA
NA NA NA NA NA 43887 NA 44197 NA 43895 44310
NA NA NA NA NA 55041 NA 54953 NA 54926 NA
NA NA NA NA NA 24294 NA 24245 NA 24329 NA
