".ID.","nbIterTraces","nbGranular","mu","lambda","nbElite","nbClose","nbIterPenaltyManagement","targetFeasible","penaltyIncrease","penaltyDecrease",".PARENT."
1,"500","25","25","60","5","8","100","0.4","1.4","0.75",NA
2,"700","20","30","40","7","4","50","0.2","1.2","0.65",NA
3,"700","20","20","60","5","2","150","0.3","1.3","0.65",NA
4,"700","25","20","20","7","8","100","0.2","1.4","0.75",1
5,"500","25","25","60","3","8","150","0.4","1.2","0.85",1
6,"500","20","25","40","3","4","100","0.3","1.4","0.75",1
7,"500","15","25","40","5","8","100","0.4","1.4","0.75",1
8,"700","15","25","60","5","2","100","0.4","1.4","0.75",7
9,"500","25","25","20","5","8","100","0.4","1.3","0.65",7
10,"500","15","25","20","5","8","100","0.4","1.4","0.75",7
11,"500","15","25","60","5","8","100","0.4","1.4","0.75",7
