"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
25818 25753 25744 25761 25743 25753 25789 25785 25743 25820 25745
11690 11655 11669 11669 11695 11702 11669 11669 11651 11669 11685
820 820 820 820 820 820 820 820 820 820 820
24474 24393 24405 24216 24441 24430 24334 24397 24353 24366 24360
37282 37476 37430 37514 37310 37279 37331 37453 37429 37426 37453
21245 21274 21245 21245 21256 21245 21245 21245 21245 21245 21275
NA NA 1015 1015 1015 1015 1015 1015 1015 1015 1015
NA NA 76042 76003 76175 76060 75936 76011 75736 75710 76105
NA NA 19244 NA NA 19232 19230 19261 19257 19230 19242
NA NA NA NA NA NA 333912 333907 333423 333384 333894
NA NA NA NA NA NA NA NA 25743 25822 25745
