"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
66048 65602 65681 65540 65601 65905 65697 65683 NA 65669 65642
60776 60563 60185 60128 60488 60646 60174 60014 60354 60080 60138
121973 121668 121708 121613 121807 122043 121862 121717 121723 121602 121403
78394 78433 78401 78372 78407 78446 78393 78372 NA 78427 78389
35379 35324 35324 35384 35303 35324 35324 35374 NA 35352 35338
1378 1377 1377 1377 1377 1367 1377 1377 1378 1377 1377
NA 8407 NA 8407 8407 8407 8407 8407 8407 8407 8407
NA 19793 NA 19758 19845 19819 19753 19729 NA 19785 19749
NA NA NA 42198 NA 42242 42088 42184 NA 42128 42184
NA NA NA 44008 NA NA NA 43955 44119 44248 44162
NA NA NA 65540 NA NA NA 65683 NA 65669 65642
NA NA NA NA NA NA NA 60014 NA 60114 60142
NA NA NA NA NA NA NA 19729 NA NA 19749
