"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
11642 11642 11651 11669 11696 11645 11642 11642 11696 11669
192003 192376 192376 192619 191598 192166 192024 191999 191690 191937
19722 19788 19761 19736 19758 19804 19767 19730 19755 19761
865 865 865 865 865 865 865 865 865 865
25575 25569 25595 25569 25572 NA 25572 25572 25569 25573
1145 1145 1145 1145 1145 1145 1145 1145 1145 1145
990 NA NA 990 993 991 990 990 990 993
24228 NA NA 24370 24344 24255 24215 24259 24184 24217
35309 NA NA NA NA 35309 35406 35379 35414 35369
160382 NA NA NA NA NA 159880 160304 160060 160279
27050 NA NA NA NA NA NA 27050 27042 27042
75202 NA NA NA NA NA NA 75368 75045 75088
11040 NA NA NA NA NA NA NA 11040 11040
58622 NA NA NA NA NA NA NA 58617 58629
