"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
8407 8407 8407 8407 8407 8407 8407 8407 8407 8407 8407
35379 35324 35324 NA NA 35309 35359 35324 35413 35358 35367
848 848 848 849 848 848 848 848 848 848 848
55687 55311 55148 55290 55540 55052 55250 55577 55182 54782 55170
52350 52203 52029 52098 52075 52194 51878 52225 52010 52049 NA
40458 40529 40476 40508 40515 40476 40487 40513 40463 40476 40487
NA NA 1337 1339 1341 1339 1339 1338 1339 1339 NA
NA NA 38713 NA NA 38802 38718 38731 38842 38695 38821
NA NA 11669 NA NA 11698 11669 11672 11642 11696 11669
NA NA 1813 NA NA NA NA 1819 1813 1815 1815
NA NA 8407 NA NA NA NA 8407 8407 8407 NA
NA NA 35324 NA NA NA NA NA NA 35358 35367
NA NA 38713 NA NA NA NA NA NA 38705 NA
